Frase,Classificazione GPT4o,Deep Seek R1,DEEP SEEK R1 (controllo),QWEN 2.5 Max
"New York's pensions are the financial equivalent of the neutron bomb: kill taxpayers right away, but save the bill for future generations,"" Astorino said.",TAXATION IS A BURDEN,TAXES ARE DISEASES,TAXATION IS A BURDEN,TAXATION IS THEFT 
The US kills democracy and kisses dictators!,DEMOCRACY IS A LIVING ENTITY,DEMOCRACY IS A FACADE,DEMOCRACY IS A PARASITE,DEMOCRACY IS A FACADE 
"Cyclists carried banners with slogans like ""Money Kills"" as they cycled slowly into the city center, bringing traffic around the imposing Bank of England to a standstill.",ECONOMIC HARDSHIP IS PHYSICAL HARM,MONEY IS A RESOURCE ,MONEY IS A RESOURCE,MONEY IS A SUBSTANCE 
Money$kills Camp,EDUCATION IS A RESOURCE,MONEY IS A SUBSTANCE,MONEY IS A RESOURCE,MONEY IS A SUBSTANCE 
will be deflected towards the weaker field which makes the field even weaker etc. leading to the so-called kink instability Fig. 3.3(b),OTHER,FORCES ARE OBJECTS,N/A ,CAUSES ARE FORCES 
"Steele tried to take a bite out of Obama's big push to get health care reform legislation before the August recess by calling it a ""reckless experiment"" in the ""laboratory"" of Congress.",LEGISLATIVE ACTIVITY IS MAKING OBJECTS,LEGISLATIVE ACTIVITY IS MOTION ALONG A PATH,LEGISLATIVE ACTIVITY IS MOTION ALONG A PATH,GOVERNMENT IS A DOCTOR 
the mind is a landmark.,OTHER,MIND IS A PHYSICAL STRUCTURE,MIND IS A PHYSICAL STRUCTURE,MIND IS A LANDMARK 
"For some, the news was received as the liberation of the Legislature:",LEGISLATIVE ACTIVITY IS MOTION ALONG A PATH,GOVERNMENT INACTION IS SLEEPING,LEGISLATURE IS A MACHINE,LEGISLATURE IS A MACHINE 
Or is this a sad case of petulant American middle class malaise â€“ above the drudgery and trials of poverty but below the wanton excess and liberation of wealth?,BEING IN A MIDDLE CLASS IS BEING IN THE MIDDLE OF A SCALE,WEALTH IS LINEAR SPATIAL SCALE,WEALTH IS A SUBSTANCE,POVERTY IS A MOTION IMPEDIMENT 
"Guns Lose in Latest Poll : Americans are increasingly fed up with handgun epidemic June 07, 1993",GUNS ARE A DISEASE,GUN VIOLENCE IS A FLUID,GUN VIOLENCE IS A DISEASE,GUNS ARE PESTS 
"Two leading astrologers, Chris Brennan and Patrick Watson, in their article titled Prediction for the 2012 US Presidential Election published on April 29, 2012, said that ""both candidates go into important ""peak periods"" in the summer prior to the election, but that Romney begins a more difficult sub-period starting in mid-October, right before the second debate, ultimately resulting in the loss of the election in November.""",ELECTION IS A RACE,ELECTION IS A RACE,ELECTION IS A RACE,TIME PERIODS ARE CONTAINERS 
"Firstly, the loss of elections in Gagauzia does not imminently attract a major danger for quality of CPRM as dominant party in the Republic of Moldova.",ELECTION IS A RACE,LOSS OF ELECTION IS LOSING A WAR,ELECTION IS WAR,LOSING AN ELECTION IS LOSING A RACE 
the mind is a machine.,MIND IS A MACHINE,MIND IS A MACHINE,MIND IS A MACHINE,MIND IS A MACHINE
"First, it wraps the opposition in the mantle of popular democracy.",DEMOCRACY IS A FACADE,DEMOCRACY IS A FACADE,GOVERNMENT IS A PARENT,DEMOCRACY IS A PLANT 
"Using such decidedly “business-model” jargon, we feel, detracts from our noble and altruistic mission to educate, empower and develop informed citizens who will carry the mantle of American democracy for future generations.",EDUCATION IS A RESOURCE,DEMOCRATIC IDEOLOGY IS A COMMODITY,EDUCATION IS A RESOURCE,DEMOCRACY IS A PLANT 
Stock prices jumped higher within minutes of word flashing around the world that Geithner was expected to get the job--a key one in any administration but especially sensitive given the crisis that is hurting everyone from pensioners to Wall Street titans as their wealth melts away.,WEALTH IS A SUBSTANCE,MONEY IS A LIQUID,MONEY IS A LIQUID,WEALTH IS A SUBSTANCE 
Poplar leaves have an elegant outline resembling that of an arab minaret,OTHER,NATURE IS A RESOURCE,N/A,SIMPLE IDEAS ARE WORDS 
while the power station loomed over it like a grandiose modern monument to the unknown dead,OTHER,POWER IS CENTRALITY,POWER IS CENTRALITY,POWER IS CENTRALITY 
Poverty is the mother of crime.,POVERTY IS A PARENT,POVERTY IS A DISEASE,POVERTY IS A DISEASE,POVERTY IS A CRIME 
"Oh, yea, and don't forgetâ€_ a mountain of ammo to go with them.",AMOUNT OF RESOURCE IS BODY WEIGHT,AMOUNT OF GUNS IS A FLUID,GUNS ARE MAGICAL,GUNS ARE OBJECTS OF WORSHIP 
They come here illegally because it's easier to swim the Rio Grande than it is to climb the mountain of bureaucracy.,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A MAZE 
"There's a mountain of ""the bottom line of money,"" a mountain of competition, a mountain of capitalism and another of socialism, there's a mountain of democracy and another of dictatorship, a mountain for every world religion: Islam, Buddhism, Christianity, Judaism, and more; and mountains for every racial and cultural group: African, Japanese, Brazilian.",AMOUNT OF CONCEPTS IS SIZE OF GEOGRAPHIC FEATURE,DEMOCRACY IS A COMPLEX STRUCTURE,NATION IS A COMPLEX STRUCTURE,IMPORTANCE IS SIZE 
"Politico's Ben Smith has looked over the mountain of the 2012 election to see what's down the path, and he sees same sex marriage as a potentially huge issue in the race for the Democratic nomination.",FUTURE IS AHEAD,ELECTION IS A PATH,ELECTION IS A PATH,PATHS ARE MEANS 
"But Obamacare created a trillion-dollar mountain of government between patients and physicians.""",GOVERNMENT REGULATION IS A BARRIER,GOVERNMENT DEBT IS OCEAN,GOVERNMENT IS A MACHINE,GOVERNMENT IS A BURDEN 
"That is a mountain of guns, and it's growing.",AMOUNT OF GUNS IS A FLUID,AMOUNT OF GUNS IS A FLUID,GUNS ARE A NATURAL DISASTER,AMOUNT OF GUNS IS A FLUID 
"The E100 is not quite the shiny, strokable wonder that was the Clix, but it does have a pared-back, elegant design that gives Apple a run for its (mountain of) money.",MORE IS UP,WEALTH IS A SUBSTANCE,MONEY IS A RESOURCE,WEALTH IS A RESOURCE 
"$225,000 would certainly be a mountain of money to us!",EXCESS WEALTH IS LARGE GEOGRAPHIC FEATURES,WEALTH IS A RESOURCE,WEALTH IS LINEAR SPATIAL SCALE,WEALTH IS A RESOURCE 
"NO!!  Much as I like the idea of making a mountain of money writing a ballooning site, I will never make this into a commercial venture.",EXCESS WEALTH IS LARGE GEOGRAPHIC FEATURES,MONEY IS A RESOURCE,MONEY IS A RESOURCE,WEALTH IS A RESOURCE 
This would remove a mountain of taxation from the shoulders of labor.,TAXATION IS A BURDEN,TAXATION IS A BURDEN,TAXATION IS A BURDEN,TAXATION IS A BURDEN 
"Liberal_in_LA (31,971 posts) Romney's mountain of wealth could cast loud echo, he's a .006 percenter Romney's mountain of wealth could cast loud echo",EXCESS WEALTH IS LARGE GEOGRAPHIC FEATURES,WEALTH IS LINEAR SPATIAL SCALE,WEALTH IS A MOUNTAIN,WEALTH IS LINEAR SPATIAL SCALE 
Mountains of Money,EXCESS WEALTH IS LARGE GEOGRAPHIC FEATURES,MONEY IS A RESOURCE,WEALTH IS A MOUNTAIN,WEALTH IS A RESOURCE 
Create gobs and mountains of money immediately when you know exactly how!,EXCESS WEALTH IS LARGE GEOGRAPHIC FEATURES,MONEY IS A RESOURCE,MONEY IS A RESOURCE,WEALTH IS A RESOURCE 
Well constrast this to our current government run system where crimnal proceedings take many years and mountains of money.,GOVERNMENT FUNCTIONALITY IS VERTICALITY,MONEY IS A RESOURCE,GOVERNMENT IS A MACHINE,TAXATION IS A BURDEN 
"Listen puppies, Your Mama don't begrudge Mister Perry his screaming success and we allow that people with fat bank accounts are free to live any which way their mountains of money will buy.",WEALTH IS A RESOURCE,WEALTH IS A RESOURCE,WEALTH IS A MOUNTAIN,WEALTH IS A RESOURCE
"Nobody ever gets elected to any political office whatsoever unless he or she is hand-picked by a bunch of Jews and subscribes wholeheartedly to a complex agenda that preserves and protects the State of Israel at all costs, keeps Jews in complete control of all media and entertainment, turns the suffering of six billion slaves into mountains of money for Nazi conglomerates and keeps ordinary consumers brainwashed out of their poor, stupid minds.",GOVERNMENT IS A SLAVE MASTER,DEMOCRACY IS A MYTH,DEMOCRACY IS A MYTH,WEALTH IS A RESOURCE 
The Turk and Mongol invaders found and easily robbed the mountains of wealth heaped in Hindu temples and it is little wonder that they had so little difficulty in conquering a spiritual country that had lost its material strength.,WEALTH IS A RESOURCE,WEALTH IS A RESOURCE,WEALTH IS A MOUNTAIN,WEALTH IS A RESOURCE 
Many American corporations are dysfunctional because corporate democracy is a myth in the United States.,CORPORATIONS ARE PEOPLE,CORPORATE DEMOCRACY IS A MYTH,CORPORATE DEMOCRACY IS A MYTH,DEMOCRACY IS A FACADE 
Not sure if that qualifies as a gun myth but its certainly mythical (see what I did there?),OTHER,GUNS ARE MAGICAL,GUNS ARE MYTHICAL,GUNS ARE TARGETS OF PSYCHOLOGICAL FIXATION 
He finds that providing readers with a corrective information to dispel an Obamacare myth can actually strengthen belief in death panels.,COGNITIVE AVERSION IS PHYSICAL DISGUST,IDEAS ARE FOOD,SOCIAL PROBLEMS ARE DISEASES,ARGUMENT IS WAR 
public school segregation was an obstacle in attaining civil rights.,IMPEDIMENTS TO ACTION ARE PHYSICAL IMPEDIMENTS TO MOTION,DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT,SEGREGATION IS AN OBSTACLE,BUREAUCRACY IS A MAZE 
"Democracy is an ocean, and your vote is a teaspoon in that body of water.",OTHER,DEMOCRACY IS AN OCEAN,DEMOCRACY IS AN OCEAN,DEMOCRACY IS AN OCEAN 
Perhaps 5â€“10% of firearms trafficking operations involve illegal sales knowingly made by a retail licensee.,GUN CONTROL REGULATION IS A DISEASE,CRIME IS A DISEASE,FIREARMS TRAFFICKING IS A DISEASE,CRIME IS AN ANIMAL 
"CUSIB pretends to be an opponent of bureaucracy, yet it supports leaving the largest U.S. international broadcasting bureaucracy of all, the Voice of America, unaltered.",BUREAUCRACY IS A MACHINE,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A MAZE
First we give the true name to the opponent of our freedoms and this name is: the evil tyranny of concentrated wealth.,EVIL IS DARK,WEALTH IS A RESOURCE,WEALTH IS AN OPPRESSOR,WEALTH IS POWER 
"Two years later, Samaha has become a prominent and vocal opponent of guns on college campuses.",ADVOCATING GUN CONTROL IS ZEALOTRY,GUN CONTROL ADVOCACY IS PHYSICAL HARM,GUN CONTROL ADVOCACY IS PHYSICAL HARM,GUN CONTROL ADVOCACY IS PHYSICAL HARM 
"President Obama, a well-known opponent of guns, told The Daily Skid, ""I am just about sick and tired of people walking around shooting at people willy-nilly.",ADVOCATING GUN CONTROL IS INSANITY,GUN CONTROL ADVOCACY IS PHYSICAL HARM,GUN CONTROL ADVOCACY IS PHYSICAL HARM,GUN CONTROL ADVOCACY IS PHYSICAL HARM 
"In overcoming the greater opponent of poverty, the Putnam City West Patriots are now able to better focus on their less fearsome opponent on Friday nights.",POVERTY IS A FIERCE CREATURE,POVERTY IS A PHYSICAL AFFLICTION,POVERTY IS AN OPPONENT,POVERTY IS A FIERCE CREATURE 
Understanding each type of plenary power and their affect on tribes will better explain how U.S. democracy oppresses Indians rather than protect them.,GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS OPPRESSION,GOVERNMENT IS A SLAVE MASTER,GOVERNMENT IS A SLAVE MASTER,DEMOCRACY IS A DISEASE
No. I don't believe that wealth oppresses people.,OTHER,GOVERNMENT IS A SLAVE MASTER,GOVERNMENT IS A SLAVE MASTER,WEALTH IS NOT OPPRESSION 
"There's a way to be progressive about our gun rights but saying gun oppression should be equalized with ethnic oppression is uncalled for, especially given the two are apples and oranges anyway.",CATEGORIES ARE BOUNDED REGIONS,GOVERNMENT REGULATION IS A PHYSICAL CONSTRAINT,GUN CONTROL IS PHYSICAL RESTRAINT,GUN RIGHTS ARE VALUABLE POSSESSIONS 
...dying from a stray bullet or an overdose of poverty will still be easy...,POVERTY IS PHYSICAL HARM,POVERTY IS A DISEASE,POVERTY IS A DISEASE,POVERTY IS A DISEASE 
"Imagine not only the above but stir in the fact that you currently belong to, and are senior officials, of your political party and it is basically illegal for you to campaign for the overthrow of the government.",GOVERNMENT IS A SLAVE MASTER,POLITICAL PARTIES ARE PEOPLE,GOVERNMENT IS A PARENT,GOVERNMENT IS A LEADER 
Currently democracy is a parasite for western Europe and the western world in general.,GOVERNMENT IS A LEECH,DEMOCRACY IS A PARASITE,DEMOCRACY IS A PARASITE,DEMOCRACY IS A PARASITE 
We cannot allow Texas to go down the big government pathway.,MEANS ARE PATHS,GOVERNMENT IS A PATH,GOVERNMENT IS A PATH,GOVERNMENT IS BIG 
"When approaching the legislature for funding, we are more likely to receive aid if we are at the peak of taxation.",HIGH STATUS IS UP,TAXATION IS A BURDEN,TAXATION IS A BURDEN,TAXATION IS A FORCE 
"Meanwhile the pot is calling the kettle black, as Rumsfeld resurfaces, democracy perpetrators scan the world for more oil resources in nations that could use a little liberty, and a new ad campaign has been launched to get send shivers up your ... I can't bring myself to be crass.",OTHER,GOVERNMENT IS A SLAVE MASTER,DEMOCRATIC IDEOLOGY IS A COMMODITY,DEMOCRACY IS A DISEASE 
"If they could ever make a gun pill , all pregnant women should take it so that they can conceive a self armed baby.",GUNS ARE MAGICAL,GUNS ARE DRUGS,GUNS ARE DRUGS,GUNS ARE MAGICAL 
"I think it is their own media and government (again, the media) forcing ""the evil gun pill"" down their throats.",ADVOCATING GUN CONTROL IS INSANITY,GUNS ARE DRUGS,GUNS ARE DRUGS,GOVERNMENT IS A PARENT 
"It is a government-induced poverty pill, which we all shall soon be forced to swallow by force of law.",GOVERNMENT ASSISTANCE IS AN ADDICTIVE DRUG,POVERTY IS A DISEASE,GOVERNMENT ASSISTANCE IS AN ADDICTIVE DRUG,GOVERNMENT IS A PARENT 
Guns are a pillar of civilization.,GUNS ARE OBJECTS OF WORSHIP,GUNS ARE PHYSICAL STRUCTURES,GUNS ARE OBJECTS OF WORSHIP,GUNS ARE OBJECTS OF WORSHIP 
Taxes are a pillar of capitalism.,TAXES ARE PHYSICAL STRUCTURES,TAXATION IS A BURDEN,TAXATION IS INVESTMENT,TAXES ARE DUES 
"It is much worse, actually: they are selling their human dignity to the pimp of government, in exchange for which he gives her a subsistence.",GOVERNMENT ASSISTANCE IS A TRAP,GOVERNMENT IS A SLAVE MASTER,GOVERNMENT IS A SLAVE MASTER,GOVERNMENT IS A PIMP 
"When we conquer a foreign land, our appointed governor cannot simply plant democracy in the tread of his boots.",DEMOCRACY IS A PLANT,DEMOCRACY IS A PLANT,DEMOCRACY IS A PLANT,DEMOCRACY IS A PLANT 
Poisoned Milk and the Poisoning of Democracy: Some Cautions about China Trade and Taiwan Sovereignty.,CORRUPTION IS A DISEASE,DEMOCRACY IS A DISEASE,DEMOCRACY IS A DISEASE,DEMOCRACY IS A DISEASE 
"That is, until some racist nimrod spits into the great pool of democracy and spoils our good time.",DEMOCRACY IS A BODY OF WATER,DEMOCRACY IS A FLUID,CORRUPTION IS A DISEASE,DEMOCRACY IS AN OCEAN 
"Much has been written by poets and dreamers in praise of poverty, and the love of money has been denounced as the root of all evil, but the fact remains that, honestly acquired and wisely employed, there is no form of power so substantial, positive and palpable as that which accompanies the possession of money.",POWER IS A POSSESSED OBJECT,WEALTH IS A RESOURCE,POWER IS A POSSESSED OBJECT,WEALTH IS POWER 
"On the other hand, the bourgeoisie, the peasants, the workers are frowned on as the natural prey of democracy, socialism, and the revolution.",OTHER,DEMOCRACY IS A PREY,PEOPLE ARE ANIMALS,SOCIAL PROBLEMS ARE DISEASES 
We are always pleased to show our clients the progress of their guns.,AMOUNT OF PROGRESS IS AMOUNT OF DISTANCE MOVED,GUNS ARE OBJECTS OF WORSHIP,ACHIEVING GUN RIGHTS IS REACHING A DESTINATION,GUNS ARE OBJECTS OF WORSHIP 
Not every action can justify the democracy progression.,PROGRESS IS FORWARD MOTION ALONG A PATH,DEMOCRACY IS A JOURNEY,PROGRESS IS FORWARD MOTION ALONG A PATH,DEMOCRACY IS A FACADE 
Protect Children Not Guns,GUN CONTROL IS PHYSICAL RESTRAINT,GUNS ARE A DISEASE,GUN CONTROL IS PHYSICAL RESTRAINT,PROTECTING RIGHTS IS SHIELDING FROM HARM 
"Election protection is, unfortunately, a necessary aspect of voting because in 2008, U.S. voters are still faced with a number of impediments to casting their ballots for candidates:",IMPEDIMENTS TO ACTION ARE PHYSICAL IMPEDIMENTS TO MOTION,ELECTION IS A RACE,IMPEDIMENTS TO ACTION ARE PHYSICAL IMPEDIMENTS TO MOTION,ELECTIONS ARE COMPETITIVE SPORTS EVENTS 
Anyone can call their personal insanity a religion in order to try to get government protection.,ADVOCATING GUN CONTROL IS INSANITY,RELIGION IS INSANITY,FERVENT ADVOCACY IS INSANITY,GOVERNMENT’S POSITIVE TREATMENT OF RIGHTS IS SUPPORTING A PHYSICAL STRUCTURE 
"Druckenmiller added: ""The 50 percent law punishes democracy.""",DEMOCRACY IS A FACADE,DEMOCRACY IS A PUNISHMENT,LAWS ARE LIVING ENTITIES,DEMOCRACY IS PUNISHMENT 
Democracy is a punishment for not having popular enough western leaning leaders.,OTHER,DEMOCRACY IS A PUNISHMENT,DEMOCRACY IS A FACADE,DEMOCRACY IS PUNISHMENT 
Bad government is a punishment for rebellion in the heart of the people of that nation.,OTHER,BAD GOVERNMENT IS A PUNISHMENT,CORRUPTION IS A DISEASE,GOVERNMENT IS A DISEASE 
the mind is pursuer.,COGNIZING IS MOVING,MIND IS A PURSUER,PURPOSEFUL THINKING IS GOAL-DIRECTED MOTION,MIND IS PURSUER 
They probably won't shut up about it for the next four years and through the 2016 election race.,ELECTION IS A RACE,ELECTION IS A RACE,ELECTION IS A RACE,ELECTION IS A RACE 
Putin understands that the fall of the Soviet Union occurred because it was focused on not losing an arms race instead of winning a wealth race.,COMPETITION IS A RACE,WEALTH IS A RACE,COMPETITION IS A RACE,ARMS RACE IS COMPETITION 
"Sweep out the old, then when the fresh rain of democracy came, a whole new country would spring up, like mushrooms.",DEMOCRACY IS A PLANT,DEMOCRACY IS A PLANT,DEMOCRACY IS A PLANT,DEMOCRACY IS GROWTH 
It's the rape of poverty.,POVERTY IS PHYSICAL HARM,POVERTY IS A CRIME,POVERTY IS A CRIME,POVERTY IS PHYSICAL HARM 
"By far my biggest ""expenditure"" is the rape of taxation, which is about 800% higher than my housing cost.",TAXATION IS THEFT,TAXATION IS THEFT,TAXATION IS THEFT,TAXATION IS PHYSICAL HARM 
To now attach the law to the running of the government and use it as a bargaining chip would set a dangerous precedent that takes us out of the realm of democracy and into the realm of anarchy.,DEMOCRACY IS A FACADE,DEMOCRACY IS A REALM,GOVERNMENT IS A PHYSICAL STRUCTURE,DEMOCRACY IS AN AGREEMENT 
"Photographed with a special rotating camera that registers a 360-degree view in one continuous take - the five-second-long-revolution to which the title of these works refers - they depict interior views of private lofts, once bohemian quarters of artists, now spacious and stylish realms of urban affluence and decorative ambition.",OTHER,WEALTH IS A REALM,BEING WEALTHY IS BEING AT A HIGH LOCATION,WEALTH IS PROTECTION AGAINST HARM 
"Then wealth recedes and feelgood evaporates and the Fed has to get back to ""supporting"".",WEALTH IS A SUBSTANCE,WEALTH IS A FLUID,DECREASE IN QUANTITY IS DOWNWARD MOTION,WEALTH RECEDES AND FEELGOOD EVAPORATES 
"Infrastructure, homelessness hamper recovery",IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS IMPEDIMENTS TO MOTION ALONG A PATH,INFRASTRUCTURE IS A BUILDING,DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT,INFRASTRUCTURE DETERIORATION IS BUILDING EROSION 
"As government relief proved to be increasingly inadequate and inappropriate, private charity provided a vital life-line for the starving Irish poor.",GOVERNMENT ASSISTANCE IS A HANDOUT,GOVERNMENT ASSISTANCE IS A TRAP,GOVERNMENT ASSISTANCE IS A TRAP,GOVERNMENT ASSISTANCE IS SUPPORT 
"But see Harvey P. Dale, Foreign Charities, 48 TAX LAW. 655, 660â€“61 (1995) (arguing that none of the tax benefits conferred to charities was ever predicated on a theory of government burden relief).",OTHER,TAXATION IS A BURDEN,TAXATION IS A BURDEN,GOVERNMENT BURDEN RELIEF 
"As a force for poverty relief, Wal-Mart's $200 billion-plus assistance to consumers may rival many federal programs.",CAUSES ARE FORCES,POVERTY RELIEF IS A FORCE,GOVERNMENT ASSISTANCE IS SUPPORT,POVERTY RELIEF IS AID 
"And because the deductions are made before tax, employees get the tax relief straight away.",TAXATION IS A BURDEN,TAX RELIEF IS A FORCE,TAXATION IS A BURDEN,TAX RELIEF IS SUPPORT 
"The Obama plan offers more generous tax relief for middle class families, including a ""Making Work Pay Credit"" that would benefit 95 percent of workers and their families, providing $1,000 for a typical working family.",TAXATION IS INVESTMENT,TAX RELIEF IS A FORCE,TAXATION IS A BURDEN,TAX RELIEF IS SUPPORT 
"For international tax issues and double taxation relief and for information on your UK tax liabilities, you can visit www.inlandrevenue.gov.uk.",TAXATION IS A BURDEN,TAXATION IS A BURDEN,TAXATION IS A BURDEN,DOUBLE TAXATION RELIEF 
"Principles of double taxation relief (Part 1) In cross-border transactions, an amount may be taxable either in South Africa or in the foreign country â€“ but usually not in both.",TAXATION IS A BURDEN,TAXATION IS A BURDEN,TAXATION IS A BURDEN,DOUBLE TAXATION RELIEF 
"Of course, whomever was responsible for 911 should be brought to justice, as individuals, for isn't the emphasis on individuality supposed to be a tenet of our democracy religion?",DEMOCRATIC IDEOLOGY IS A COMMODITY,DEMOCRACY IS A RELIGION,OTHER,DEMOCRACY RELIGION 
"Professor, I cannot agree that democracy is a remedy for discrimination.",DEMOCRACY IS A PLANT,DEMOCRACY IS A REMEDY,GOVERNMENT IS A DOCTOR,DEMOCRACY IS NOT A REMEDY 
"In a lasseiz-faire society which applies caveat emptor, the government is a remedy to corruption.",CORRUPTION IS A DISEASE,GOVERNMENT IS A REMEDY,GOVERNMENT IS A DOCTOR,GOVERNMENT IS A REMEDY 
Do we not belong to the restaurant of Democracy?,NATION IS A BUSINESS,DEMOCRACY IS A RESTAURANT,OTHER,DEMOCRACY IS A RESTAURANT 
"History has demonstrated that citizens in most places most of the time are generally averse to conflicts with long-term costs, and that democracy restrains aggressive rulers.",DEMOCRACY IS AN EQUAL PARTNERSHIP,DEMOCRACY IS A RESTRAINT,OTHER,DEMOCRACY RESTRAINS AGGRESSION 
"According to Banderas, poverty restrains people from achieving many objectives in life.",POVERTY IS A MOTION IMPEDIMENT,POVERTY IS A RESTRAINT,POVERTY IS A MOTION IMPEDIMENT,POVERTY RESTRAINS PEOPLE 
"When someone threatens to sue over a christmas display, no matter what they want as a result, a prudent bureaucracy retreats to avoid spending money on attorneys rather than mission.",GOVERNMENT INACTION IS SLEEPING,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A MACHINE,BUREAUCRACY RETREATS TO AVOID SPENDING MONEY 
"[But] I am very concerned that this so-called revolution of democracy and equality is actually creating cultural anarchy and punishing people with real talent.""",REVOLUTION IS TOPPLING A PHYSICAL OBJECT,DEMOCRACY IS A PUNISHMENT,OTHER,DEMOCRACY REVOLUTION CREATES ANARCHY 
It was a kind of election revolution achieved through the ardent wishes of the Korean people who eagerly anticipated the dawning of a new age.,REVOLUTION IS TOPPLING A PHYSICAL OBJECT,ELECTION IS A REVOLUTION,REVOLUTION IS TOPPLING A PHYSICAL OBJECT,ELECTION REVOLUTION 
They are the ditch carp in the great river of democracy.,OTHER,DEMOCRACY IS A RIVER,OTHER,DEMOCRACY RIVER 
Poverty robs people of the ability to manage their time.,POVERTY IS A CRIME,POVERTY IS A THIEF,POVERTY IS A CRIME,POVERTY ROBS ABILITIES 
"Poverty robs people of dignity, hope, and the power to determine their own future.",POVERTY IS PHYSICAL HARM,POVERTY IS A THIEF,POVERTY IS A CRIME,POVERTY ROBS DIGNITY 
"The reason for this, a new study shows, is that poverty robs people of the mental bandwidth they need to make better decisions.",POVERTY IS A MOTION IMPEDIMENT,POVERTY IS A THIEF,POVERTY IS A CRIME,POVERTY ROBS MENTAL BANDWIDTH 
Canals within the algae stand out as rods in this kind of preservation which is common in Ordovician rocks,OTHER,ALGAE IS A ROD,OTHER,ALGAE PRESERVATION 
"I love people who claim that the gun route can be done ""instantly in the heat of emotion"" as if no will or planning is involved or necessary to do something like this.",GUN VIOLENCE IS A PHYSICAL AFFLICTION,GUNS ARE MAGICAL,ANGER IS HEAT,GUN ROUTE INVOLVES PLANNING 
The wind goes out of the sails of democracy very quickly when those in power show time and again they will do absolutely anything to stay in power.,DEMOCRACY IS A BOAT,DEMOCRACY IS A SAIL,OTHER,DEMOCRACY LOSES WIND 
than at the neighbouring cross-sections so the beam will be further constricted etc. leading to the so-called sausage instability Fig. 3.3(a),OTHER,BEAM IS A SAUSAGE,OTHER,BEAM CONSTRICTION 
"The 2004 election season was a quiet one for most state governors; only 11 states had gubernatorial contests, and of those 11, a mere seven featured incumbents running on Election Day.",ELECTION IS A RACE,ELECTION IS A RACE,ELECTION IS A RACE,ELECTION SEASON 
"This is especially true of the race between Beau Biden & Ferris Wharton for Attorney General, which appears to be the closest and most heated race of the election season among the statewide offices.",ELECTION IS A RACE,ELECTION IS A RACE,ELECTION IS A RACE,HEATED ELECTION RACE 
"This information, especially in election season, offers an opportunity to de-stablize the New World Order Ruling Elite and restore honest elections with citizens checks and balances, true Freedom under God, and true Free Enterprise in America.",GOVERNMENT IS A BUSINESS,ELECTION IS A RACE,ELECTION IS A RACE,ELECTION SEASON OPPORTUNITY 
Discuss: It's election season...do you have your voters guide?,ELECTION IS A RACE,ELECTION IS A RACE,ELECTION IS A RACE,ELECTION SEASON DISCUSSION 
her accident was an enormous setback to her career.,DIFFICULTIES IN PROGRESSING THROUGH LIFE ARE IMPEDIMENTS TO MOTION ALONG A PATH,CAREER IS A BUILDING,CAREER IS A BUILDING,SETBACK IN CAREER 
lawyers are real sharks.,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE,LAWYERS ARE SHARKS,OTHER,LAWYERS ARE SHARKS 
The opposition attempts to obscure the blame by hiding behind the faceless shield of bureaucracy.,BUREAUCRACY IS A SHIELD,BUREAUCRACY IS A SHIELD,OTHER,BUREAUCRACY IS A SHIELD 
I would not amend that great shield of democracy to hammer a few miscreants.'',CITIZEN RIGHTS ARE SHIELDS FROM HARM,DEMOCRACY IS A SHIELD,CITIZEN RIGHTS ARE SHIELDS FROM HARM,SHIELD OF DEMOCRACY 
"Having been abandoned by the King of England, the Colonies had no option left but to establish themselves a new cover, a lawful shield of government formerly provided for them by the King.",CITIZEN RIGHTS ARE SHIELDS FROM HARM,GOVERNMENT IS A SHIELD,CITIZEN RIGHTS ARE SHIELDS FROM HARM,GOVERNMENT AS A SHIELD 
They admonish us for wanting the right to defend ourselves in the most efficient way available (private firearms ownership) while at the same time surrounding themselves with a shield of guns.,GUN RIGHTS ARE VALUABLE POSSESSIONS,GUNS ARE A SHIELD,OTHER,RIGHT TO DEFEND WITH GUNS 
"But that affords no reason why those who do not believe in their utility or practicability, should be compelled to contribute to their support through the convenient shield of taxation.",TAXATION IS FORCEFUL REMOVAL OF A SUBSTANCE,TAXATION IS A SHIELD,OTHER,TAXATION SHIELD 
"Behind this shield of wealth, there are not very many obstacles or threats of damage to overcome.",WEALTH IS PROTECTION AGAINST HARM,WEALTH IS A SHIELD,WEALTH IS PROTECTION AGAINST HARM,WEALTH SHIELD 
"NEW YORK (CNN/Money) - ""Americans' overall income shrank for two consecutive years after stocks plunged in 2000, the first time that has effectively happened since the current tax system was put in place during World War II, according to a published report Thursday...",DECREASE IN QUANTITY IS DOWNWARD MOTION,TAXATION IS A BURDEN,OTHER,INCOME SHRINKAGE 
